Last Name,First Name,Position,G,A,HT,Salary,Points,PPM,Injured?,,,refNum
Nelson,Brock,C/LW,20,25,0," $2,500,000.00 ",65,26,No,No,,182
Lindholm,Elias,C/RW,11,34,0," $2,500,000.00 ",56,22.4,No,Yes,,183
Stempniak,Lee,RW,16,24,0," $2,500,000.00 ",56,22.4,Yes,Yes,,184
Cizikas,Casey,C,8,17,0," $2,500,000.00 ",33,13.2,No,No,,185
Colborne,Joe,C/LW/RW,4,4,1," $2,500,000.00 ",13,5.2,No,No,,186
Yakupov,Nail,RW/LW,3,6,0," $2,500,000.00 ",12,4.8,No,No,,187
Dorsett,Derek,RW,1,3,0," $2,500,000.00 ",5,2,No,No,,188
Comeau,Blake,LW/RW,8,12,0," $2,400,000.00 ",28,11.6666666666667,No,No,,189
Smith,Zack,C,16,16,0," $2,350,000.00 ",48,20.4255319148936,Yes,No,,190
Raffl,Michael,LW/C,8,3,0," $2,350,000.00 ",19,8.08510638297872,No,No,,191
Hayes,Jimmy,RW,2,3,0," $2,300,000.00 ",7,3.04347826086957,No,No,,192
Foligno,Marcus,LW,13,10,0," $2,250,000.00 ",36,16,No,No,,193
Richardson,Brad,RW/C,5,4,0," $2,250,000.00 ",14,6.22222222222222,No,No,,194
Roussel,Antoine,LW,12,15,1," $2,200,000.00 ",40,18.1818181818182,No,No,,195
Calvert,Matt,LW,10,5,0," $2,200,000.00 ",25,11.3636363636364,No,No,,196
Bouma,Lance,C/LW/RW,3,4,0," $2,200,000.00 ",10,4.54545454545455,No,No,,197
Matthias,Shawn,LW/C,8,4,0," $2,125,000.00 ",20,9.41176470588235,No,No,,198
Bonino,Nick,C,18,19,1," $2,100,000.00 ",56,26.6666666666667,No,No,,199
King,Dwight,LW/RW,9,7,0," $2,100,000.00 ",25,11.9047619047619,No,No,,200
Sheahan,Riley,C,2,11,0," $2,075,000.00 ",15,7.2289156626506,No,No,,201
Maroon,Patrick,LW,27,15,1," $2,000,000.00 ",70,35,No,No,,202
Zucker,Jason,LW/RW,22,25,0," $2,000,000.00 ",69,34.5,Yes,No,,203
Chimera,Jason,LW/RW,20,13,0," $2,000,000.00 ",53,26.5,No,No,,204
Rieder,Tobias,RW/C,16,18,0," $2,000,000.00 ",50,25,Yes,No,,205
Strome,Ryan,RW/C,13,17,0," $2,000,000.00 ",43,21.5,No,No,,206
Boyle,Brian,C/LW,13,12,0," $2,000,000.00 ",38,19,No,Yes,,207
Lewis,Trevor,C/RW/LW,12,12,0," $2,000,000.00 ",36,18,Yes,No,,208
Fehr,Eric,C/RW,6,5,0," $2,000,000.00 ",17,8.5,No,No,,209
